size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
2719664,339958,sequential,1000,6.480152,6.402,0.39229804058731754,6.282,6.36175,6.491,6.337,6.841,14.404,71
2759224,344903,sequential,1000,6.44572,6.378,0.33858315988270327,6.3,6.356,6.464,6.335,6.6530499999999995,13.284,58
2799360,349920,sequential,1000,6.463455,6.38,0.3878568175060042,6.308,6.358,6.48125,6.337,6.7371,14.213,68
2840072,355009,sequential,1000,6.496434,6.426,0.3939410377013103,6.302,6.36275,6.511,6.338,6.936299999999999,14.251,82
2881384,360173,sequential,1000,6.465837,6.388,0.437638041635421,6.293,6.36,6.48,6.336,6.720149999999999,17.256,62
2923296,365412,sequential,1000,6.45274,6.374,0.38856498703453607,6.3,6.356,6.467,6.337,6.72715,14.419,61
2965816,370727,sequential,1000,6.472297,6.386,0.4405956551332779,6.296,6.36,6.48925,6.335,6.78325,17.449,61
3008952,376119,sequential,1000,6.459716,6.39,0.3514467956806467,6.295,6.36,6.475,6.337,6.7435,13.641,66
3052720,381590,sequential,1000,6.475116,6.394,0.3572270758603381,6.303,6.364,6.488,6.34,6.8591,13.771,80
3097128,387141,sequential,1000,6.506064,6.437,0.3799238819290781,6.297,6.36475,6.521,6.338,6.983499999999999,13.537,75
3142176,392772,sequential,1000,6.486929,6.404,0.3583376086887906,6.285,6.364,6.5055,6.34195,6.87015,13.153,70
3187880,398485,sequential,1000,6.514387,6.4465,0.3762177281973964,6.297,6.366,6.52625,6.34,7.01145,13.5,82
3234248,404281,sequential,1000,6.482155,6.404,0.41121911207181644,6.285,6.36,6.49525,6.337,6.8682,15.559,76
3281288,410161,sequential,1000,6.529752,6.456,0.39246079290799224,6.294,6.37,6.53625,6.34,7.0950999999999995,13.795,95
3329016,416127,sequential,1000,6.500847,6.4115,0.4779428343891599,6.297,6.364,6.4975,6.34,6.99505,18.253,90
3377440,422180,sequential,1000,6.494883,6.428,0.3486514579779499,6.31,6.366,6.509,6.342,6.905099999999999,13.044,74
3426568,428321,sequential,1000,6.503085,6.4254999999999995,0.3774759381190526,6.292,6.362,6.515,6.33795,6.9979499999999994,13.533,81
3476408,434551,sequential,1000,6.558322,6.458,1.1796001699206713,6.273,6.372,6.539,6.342,7.0752,42.482,89
3526968,440871,sequential,1000,6.520103,6.45,0.3777945488120655,6.306,6.37,6.533,6.342,6.962699999999999,13.585,83
3578272,447284,sequential,1000,6.974796,6.8245000000000005,0.6542251331987399,6.388,6.725,7.0045,6.579,7.7440999999999995,18.969,134
3630320,453790,sequential,1000,6.92946,6.809,0.5746666861757346,6.439,6.719,6.9525,6.60795,7.637599999999999,18.068,124
3683120,460390,sequential,1000,7.102492,6.909000000000001,1.0260608240990154,6.481,6.819,7.10325,6.6979500000000005,7.97445,27.89,124
3736696,467087,sequential,1000,6.739109,6.593,1.1703550624024706,6.296,6.509,6.691000000000001,6.376,7.497249999999999,38.797,142
3791048,473881,sequential,1000,6.658493,6.521,1.678828785207426,6.305,6.45,6.6305,6.35295,7.3092999999999995,58.264,106
3846192,480774,sequential,1000,6.622274,6.519,0.4450396197948978,6.297,6.444,6.632,6.35,7.3370999999999995,14.041,122
3902136,487767,sequential,1000,6.613193,6.509,0.47851721021450366,6.295,6.432,6.622,6.351,7.3431,14.006,108
3958888,494861,sequential,1000,6.629423,6.526,0.44952278786264865,6.312,6.44875,6.648,6.35195,7.3923,14.457,110
4016472,502059,sequential,1000,6.612123,6.5075,0.42618437910838075,6.315,6.437749999999999,6.628,6.35,7.4030499999999995,13.548,99
4074896,509362,sequential,1000,6.76522,6.623,0.6356257560087553,6.315,6.516500000000001,6.771,6.384,7.652,18.537,150
4134168,516771,sequential,1000,6.672013,6.548,0.5459672509135233,6.309,6.4705,6.684,6.35695,7.4422999999999995,17.898,126
4194296,524287,sequential,1000,6.595896,6.499,0.7532055707546352,6.311,6.42075,6.602,6.349,7.2484,27.908,95
4255304,531913,sequential,1000,6.699116,6.5705,0.8706260496115782,6.31,6.483,6.67925,6.35595,7.4681999999999995,27.746,127
4317200,539650,sequential,1000,6.624887,6.532,0.4481229791423727,6.307,6.451,6.646,6.357,7.313299999999999,15.213,104
4380000,547500,sequential,1000,6.775453,6.646,0.5026805800471673,6.315,6.55275,6.7532499999999995,6.45095,7.6155,14.642,154
4443704,555463,sequential,1000,6.767432,6.64,0.592649316703047,6.323,6.531,6.765,6.43495,7.5671,18.688,143
4508344,563543,sequential,1000,6.883976,6.7,0.5746750375845664,6.334,6.646,6.906,6.52595,7.7204999999999995,17.21,165
4573920,571740,sequential,1000,6.883183,6.698,0.5612726061812116,6.333,6.644,6.864,6.509,7.757649999999999,16.496,186
4640448,580056,sequential,1000,6.82923,6.682,0.5756365976834626,6.352,6.622,6.82,6.477,7.623,18.463,170
4707944,588493,sequential,1000,6.582766,6.489,0.5488393297257894,6.311,6.423,6.578250000000001,6.348,7.24355,19.771,103
4776424,597053,sequential,1000,6.542584,6.4655000000000005,0.41699023225706117,6.307,6.3795,6.543,6.34495,7.172799999999999,14.533,98
4845896,605737,sequential,1000,6.629808,6.4945,1.1913890098993314,6.203,6.42875,6.5915,6.34595,7.204299999999999,35.314,104
4916384,614548,sequential,1000,6.550617,6.472,0.40601030119404075,6.286,6.388,6.5535,6.346,7.166799999999999,14.286,103
4987888,623486,sequential,1000,6.608182,6.509,0.44620518143555876,6.301,6.43875,6.61625,6.354,7.297199999999999,15.436,118
5060440,632555,sequential,1000,6.559794,6.4864999999999995,0.3824877441676249,6.299,6.404,6.568,6.346,7.154649999999998,13.396,98
5134048,641756,sequential,1000,6.584361,6.495,0.39631020483638507,6.302,6.422,6.59325,6.348,7.26115,13.205,111
5208728,651091,sequential,1000,6.635214,6.5344999999999995,0.43341173488489665,6.305,6.469,6.642,6.366,7.326299999999999,14.659,123
5284488,660561,sequential,1000,6.608843,6.515,0.4001956933100904,6.298,6.438,6.62,6.3549500000000005,7.350499999999999,13.087,119
5361352,670169,sequential,1000,6.593496,6.511,0.3968205974625946,6.288,6.43975,6.60825,6.35195,7.2164,13.318,107
5439336,679917,sequential,1000,6.618744,6.517,0.43289287902286944,6.303,6.4545,6.628,6.351,7.379099999999999,14.36,113
5518448,689806,sequential,1000,6.598025,6.511,0.3993461026286405,6.309,6.43575,6.61225,6.35595,7.1941,13.665,104
5598720,699840,sequential,1000,6.608183,6.519,0.4252906672649456,6.316,6.444,6.62925,6.358,7.289299999999999,14.409,97
5680152,710019,sequential,1000,6.624624,6.527,0.42993136382636893,6.312,6.453749999999999,6.6325,6.35795,7.3138999999999985,14.257,117
5762776,720347,sequential,1000,6.627469,6.5275,0.4173485388040095,6.304,6.46175,6.638,6.36095,7.349,13.501,126
5846592,730824,sequential,1000,6.647455,6.561,0.41101996957616355,6.31,6.481,6.666,6.366,7.3591,13.802,113
5931640,741455,sequential,1000,6.64653,6.545,0.416258809512179,6.3,6.47575,6.663,6.362,7.399299999999999,13.408,112
6017912,752239,sequential,1000,6.67575,6.578,0.43075756706247376,6.312,6.489,6.676,6.3779,7.4524,13.731,119
6105448,763181,sequential,1000,6.673752,6.571,0.456646787774517,6.305,6.49175,6.672,6.374,7.470199999999999,14.658,127
6194256,774282,sequential,1000,6.689131,6.574,0.5231212150588472,6.307,6.49375,6.68575,6.365,7.4540999999999995,14.709,133
6284352,785544,sequential,1000,6.709823,6.5905000000000005,0.5103104431808342,6.311,6.509,6.6945,6.3819,7.51735,13.963,139
6375760,796970,sequential,1000,6.713387,6.6055,0.4343974036931337,6.314,6.513,6.706,6.407850000000001,7.4851,13.439,141
6468496,808562,sequential,1000,6.748286,6.634,0.4608054924866954,6.306,6.537,6.722,6.45395,7.583,14.183,149
6562584,820323,sequential,1000,6.725411,6.616,0.45178427275427385,6.295,6.525,6.703,6.41,7.559,14.044,146
6658040,832255,sequential,1000,6.764997,6.634,0.4732918192163658,6.321,6.544,6.73425,6.43885,7.59235,14.229,172
6754880,844360,sequential,1000,6.740073,6.628,0.4706685952956683,6.32,6.535,6.713,6.42995,7.52605,14.652,156
6853136,856642,sequential,1000,6.758261,6.646,0.4483741453889299,6.324,6.5497499999999995,6.744,6.45095,7.607,13.6,148
6952816,869102,sequential,1000,6.832074,6.662,0.6376352163997792,6.328,6.58,6.759,6.467,7.6987,18.513,201
7053944,881743,sequential,1000,6.801135,6.666,0.4674191517668467,6.315,6.574,6.751,6.478,7.642,13.54,186
7156544,894568,sequential,1000,6.797774,6.66,0.46454762018055307,6.334,6.574,6.767,6.469,7.61705,13.671,180
