size_bytes,num_nodes,pattern,n,mean,median,stddev,min,q1,q3,p5,p95,max,n_outliers
4573920,571740,sequential,1000,15.387006,15.085,2.609823591575328,12.204,13.5045,16.568,12.661900000000001,20.277299999999993,40.578,43
4640448,580056,sequential,1000,9.202158,8.78,1.6562147234722455,6.25,7.9665,10.7605,6.7374,11.5061,18.976,3
4707944,588493,sequential,1000,7.66414,7.627000000000001,0.9431521851983615,6.212,6.914,8.502,6.504,8.546,18.186,3
4776424,597053,sequential,1000,7.577598,7.49,0.9092966109706573,6.224,6.8315,8.462,6.4999,8.548,16.786,3
4845896,605737,sequential,1000,7.730076,7.7780000000000005,0.8590633504370118,5.988,6.954,8.506499999999999,6.5159,8.5541,15.294,3
4916384,614548,sequential,1000,7.698106,7.71,0.8780887749314762,6.01,6.956,8.5085,6.506,8.558,16.362,3
4987896,623487,sequential,1000,7.674684,7.675000000000001,0.932954142268298,6.262,6.9335,8.4985,6.5099,8.556,17.752,3
5060440,632555,sequential,1000,7.789182,7.909000000000001,0.8309489774222477,5.998,7.1085,8.516,6.522,8.552,17.574,2
5134048,641756,sequential,1000,7.65211,7.636,0.895523566612492,5.976,6.898,8.502,6.506,8.55,17.618,2
5208728,651091,sequential,1000,7.83499,8.033999999999999,0.8822519279459605,6.252,7.195,8.516,6.518,8.554,17.84,3
5284488,660561,sequential,1000,7.784574,7.876,0.8943306132352676,6.264,7.066,8.516,6.52,8.558,17.138,3
5361352,670169,sequential,1000,7.731664,7.827999999999999,0.8735411754973483,6.15,6.988,8.514,6.516,8.562,18.83,2
5439336,679917,sequential,1000,7.754802,7.912,0.8515289862420482,6.236,6.9755,8.516,6.526,8.556,15.086,3
5518456,689807,sequential,1000,7.734188,7.817,0.8016566010218851,6.018,7.010999999999999,8.512,6.518,8.554,16.702,1
5598720,699840,sequential,1000,7.748286,7.82,0.8894689636188782,5.998,7.0475,8.51,6.516,8.556,19.744,2
5680160,710020,sequential,1000,7.702824,7.7219999999999995,0.982714673317313,6.248,6.9355,8.506,6.508,8.55,19.682,3
5762776,720347,sequential,1000,7.758776,7.776999999999999,0.8853419069015744,6.248,7.0675,8.512,6.516,8.556,17.436,3
5846600,730825,sequential,1000,7.729104,7.803,0.8066732317902255,6.172,6.9635,8.508,6.514,8.558,14.534,2
5931640,741455,sequential,1000,7.767948,7.865,0.914397252637841,6.246,6.994,8.51,6.5159,8.55,17.802,3
6017912,752239,sequential,1000,7.689648,7.654,0.9501403279193756,5.97,6.9465,8.506,6.512,8.552,18.588,3
6105448,763181,sequential,1000,7.69991,7.715,0.9109430921946866,6.11,6.9515,8.506,6.51,8.55,19.408,2
6194256,774282,sequential,1000,7.749904,7.758,0.9064105178178433,5.984,7.092,8.504,6.5119,8.5541,19.392,3
6284352,785544,sequential,1000,7.780572,7.864,0.8330034186673614,5.978,7.051,8.5105,6.52,8.556,15.174,3
6375760,796970,sequential,1000,7.865188,7.932,1.6740719989635195,6.026,7.125500000000001,8.514,6.518,8.572,51.832,5
6468496,808562,sequential,1000,7.733364,7.736000000000001,0.939380425113855,6.022,6.977,8.508,6.514,8.564,18.398,3
6562584,820323,sequential,1000,7.801256,7.959,0.8461813028312911,6.048,7.1315,8.516,6.5179,8.556,17.662,2
6658040,832255,sequential,1000,7.758556,7.811,0.7912486266991262,6.038,7.1285,8.514,6.514,8.5521,15.08,2
6754880,844360,sequential,1000,7.808586,7.896,0.887038557226238,6.066,7.1355,8.514,6.522,8.552,18.13,3
6853136,856642,sequential,1000,7.774378,7.878,0.9484150484994532,6.256,7.0520000000000005,8.5125,6.51,8.552,19.178,3
6952816,869102,sequential,1000,7.72149,7.732,0.8890977711965916,5.968,6.9755,8.51,6.516,8.552,19.062,2
7053944,881743,sequential,1000,7.731488,7.776999999999999,0.9352155162944624,6.03,6.978,8.5105,6.51,8.556,19.832,3
7156552,894569,sequential,1000,7.743678,7.853999999999999,0.8534928601800829,6.168,6.971500000000001,8.516,6.52,8.562,15.08,3
7260640,907580,sequential,1000,7.790612,7.917,0.8848040821106782,6.188,7.0755,8.514,6.5239,8.556,17.184,3
7366256,920782,sequential,1000,7.73245,7.765000000000001,1.1556708703868332,6.138,6.9655000000000005,8.506499999999999,6.5059000000000005,8.558,32.006,3
7473400,934175,sequential,1000,7.728468,7.839,0.9214059093720997,6.054,6.952999999999999,8.508,6.516,8.558,18.13,3
7582096,947762,sequential,1000,7.741238,7.827,0.8808476439929485,6.204,6.9895000000000005,8.512,6.508,8.548,18.28,2
7692384,961548,sequential,1000,7.821658,7.9399999999999995,0.8810583447438898,5.976,7.158,8.5165,6.52,8.55,18.446,3
7804272,975534,sequential,1000,7.799842,7.98,0.8979141188336448,6.022,7.034,8.516,6.514,8.558,17.476,3
7917792,989724,sequential,1000,7.755002,7.852,0.9369040661803242,6.004,7.0255,8.514,6.52,8.558,18.368,3
8032952,1004119,sequential,1000,7.755424,7.776,0.8982276733530187,6.022,7.031,8.514,6.52,8.5521,17.82,3
8149800,1018725,sequential,1000,7.774688,7.875,0.8014117315209576,6.224,7.056,8.518,6.516,8.552,15.118,2
8268336,1033542,sequential,1000,7.783608,7.867,0.8683715169369775,6.01,7.054,8.516,6.522,8.554,16.942,3
8388608,1048576,sequential,1000,7.7689,7.8309999999999995,0.895558989628212,5.98,7.074,8.512,6.5179,8.558,19.42,2
8510616,1063827,sequential,1000,7.78919,7.963,0.9161170811672525,6.016,7.0595,8.5105,6.514,8.558,18.666,3
8634408,1079301,sequential,1000,7.788804,7.922000000000001,0.9185728548534807,6.016,7.083,8.512,6.52,8.56,18.292,3
8760000,1095000,sequential,1000,7.864574,8.202,0.8076393972064017,6.342,7.180000000000001,8.52,6.5219000000000005,8.562,15.216,2
8887416,1110927,sequential,1000,7.77569,7.837,0.9261500514591671,6.026,7.0235,8.51,6.522,8.554,18.912,3
9016688,1127086,sequential,1000,7.777538,7.888,0.8322466515673373,5.98,7.025,8.516,6.52,8.556099999999999,14.898,3
9147840,1143480,sequential,1000,7.758544,7.856999999999999,0.9218582704161928,5.99,6.9765,8.516,6.514,8.5581,17.61,3
9280896,1160112,sequential,1000,7.737972,7.823,0.8691103543417396,6.006,6.9855,8.51,6.5119,8.554,17.406,2
9415888,1176986,sequential,1000,7.79443,7.928,0.915976239632651,5.972,7.093,8.512,6.518,8.552,19.328,3
9552848,1194106,sequential,1000,7.799216,7.884,0.8460095540296868,5.966,7.1535,8.516,6.5239,8.556,17.636,2
9691800,1211475,sequential,1000,7.811576,7.945,0.8570674143711081,6.28,7.154999999999999,8.52,6.5199,8.552,17.462,3
9832768,1229096,sequential,1000,7.815392,8.004999999999999,0.8670769774482661,6.028,7.07,8.518,6.5219000000000005,8.556,18.012,2
9975792,1246974,sequential,1000,7.76761,7.854,0.8993846299624052,6.226,7.0275,8.5105,6.518,8.552,18.676,3
10120888,1265111,sequential,1000,7.718576,7.7509999999999994,0.9007633089567774,6.004,6.965,8.508,6.514,8.56,17.312,3
10268104,1283513,sequential,1000,7.788278,7.888,0.9287998254908492,6.018,7.093,8.518,6.5099,8.562,18.292,3
10417456,1302182,sequential,1000,7.808056,7.988,0.8137215024488093,6.082,7.112,8.516,6.526,8.552,17.014,2
10568984,1321123,sequential,1000,7.802516,7.959,0.8468942292751672,6.032,7.1215,8.514,6.5099,8.556,15.126,3
10722712,1340339,sequential,1000,7.776478,7.932,0.9127620007351237,6.292,7.005,8.512,6.516,8.558,21.002,2
10878672,1359834,sequential,1000,7.81294,7.9719999999999995,0.9615456299096774,5.992,7.0405,8.518,6.5219000000000005,8.554,19.284,3
11036912,1379614,sequential,1000,7.83676,8.024000000000001,0.9028688911656192,5.976,7.1685,8.518,6.5239,8.562,18.452,3
11197448,1399681,sequential,1000,7.755058,7.816,0.8069459253025337,5.988,7.1175,8.508,6.514,8.556,16.42,2
11360312,1420039,sequential,1000,7.779842,7.846,0.8991368405832864,6.192,7.096,8.51,6.516,8.5521,18.23,3
11525552,1440694,sequential,1000,7.807498,7.971,0.8347367210021309,6.076,7.098,8.518,6.522,8.55,17.278,2
11693200,1461650,sequential,1000,7.78351,7.898,0.8085536091310451,6.094,7.14,8.516,6.516,8.552,15.158,2
11863280,1482910,sequential,1000,7.779446,7.866,0.9394216743114703,5.99,7.0785,8.516,6.514,8.556,18.464,3
12035832,1504479,sequential,1000,7.803858,7.954,0.821669508145834,6.032,7.1275,8.514,6.5259,8.5501,15.052,3
